__time,/cable_length/data,/hoist_motor_voltage/data,/sway_angle/data,/trolley_motor_voltage/data,/trolley_position/data
1717494493.318000,,,-0.010357327,,
1717494493.322719,,0.000000000,,,
1717494493.333802,,,,,0.000000000
1717494493.344835,,,,0.000000000,
1717494493.353020,0.424154311,,,,
1717494493.353059,,,-0.022126682,,
1717494493.354740,,612.000000000,,,
1717494493.369836,,,,,0.000000000
1717494493.380863,,,,0.795000017,
1717494493.387408,0.424155056,,,,
1717494493.387451,,,-0.033818018,,
1717494493.390752,,682.000000000,,,
1717494493.403861,,,,,0.000000000
1717494493.414827,,,,1.700000048,
1717494493.420058,0.424159437,,,,
1717494493.420079,,,-0.058347557,,
1717494493.424793,,682.000000000,,,
1717494493.434833,,,,,0.000944444
1717494493.444861,,,,2.779000044,
1717494493.453409,0.424207985,,,,
1717494493.453454,,,-0.044628382,,
1717494493.454776,,782.000000000,,,
1717494493.469851,,,,,0.003333333
1717494493.480841,,,,3.858000040,
1717494493.486253,0.424186170,,,,
1717494493.486280,,,-0.018686630,,
1717494493.490836,,638.000000000,,,
1717494493.500875,,,,,0.005722222
1717494493.509832,,,,4.690999985,
1717494493.519575,0.424214542,,,,
1717494493.519601,,,0.070964120,,
1717494493.521765,,723.000000000,,,
1717494493.536852,,,,,0.008500000
1717494493.546859,,,,5.659999847,
1717494493.547789,0.424248725,,,,
1717494493.547836,,,0.172845200,,
1717494493.560843,,662.000000000,,,
1717494493.571847,,,,,0.011111111
1717494493.581879,,,,6.533999920,
1717494493.584507,0.424283743,,,,
1717494493.584551,,,0.299346149,,
1717494493.595928,,636.000000000,,,
1717494493.606817,,,,,0.013333334
1717494493.616867,0.424319625,,,,
1717494493.616901,,,0.450542718,,
1717494493.617781,,,,7.356999874,
1717494493.633887,,706.000000000,,,
1717494493.643897,,,,,0.015388889
1717494493.653414,0.424356252,,,,
1717494493.653448,,,0.626241624,,
1717494493.653788,,,,8.305000305,
1717494493.667848,,750.000000000,,,
1717494493.677917,,,,,0.017333332
1717494493.687042,0.424418122,,,,
1717494493.687095,,,0.788051724,,
1717494493.687794,,,,9.317000389,
1717494493.703887,,685.000000000,,,
1717494493.713879,,,,,0.019777779
1717494493.719136,0.424456984,,,,
1717494493.719163,,,0.974260628,,
1717494493.723812,,,,9.425999641,
1717494493.733879,,661.000000000,,,
1717494493.743891,,,,,0.021611111
1717494493.750439,0.424468189,,,,
1717494493.750481,,,1.159201503,,
1717494493.754789,,,,9.399000168,
1717494493.767867,,671.000000000,,,
1717494493.778902,,,,,0.023555556
1717494493.784845,0.424435616,,,,
1717494493.784875,,,1.304825544,,
1717494493.787857,,,,9.208000183,
1717494493.801905,,656.000000000,,,
1717494493.814903,,,,,0.025166666
1717494493.818576,0.424466938,,,,
1717494493.818603,,,1.398722291,,
1717494493.824858,,,,8.993000031,
1717494493.834924,,741.000000000,,,
1717494493.845879,,,,,0.026500000
1717494493.851817,0.424521118,,,,
1717494493.851852,,,1.441246390,,
1717494493.855798,,,,9.168999672,
1717494493.868934,,741.000000000,,,
1717494493.878906,,,,,0.028611111
1717494493.885970,0.424496591,,,,
1717494493.886006,,,1.432392716,,
1717494493.889820,,,,9.187000275,
1717494493.902911,,733.000000000,,,
1717494493.913904,,,,,0.031222222
1717494493.918815,0.424493045,,,,
1717494493.918850,,,1.385520101,,
1717494493.923816,,,,9.302000046,
1717494493.932819,,785.000000000,,,
1717494493.942912,,,,,0.034388889
1717494493.952092,0.424414396,,,,
1717494493.952151,,,1.325958729,,
1717494493.952838,,,,9.538999557,
1717494493.968867,,648.000000000,,,
1717494493.979869,,,,,0.038666666
1717494493.987630,0.424429923,,,,
