__time,/cable_length/data,/hoist_motor_voltage/data,/sway_angle/data,/trolley_motor_voltage/data,/trolley_position/data
1717493136.269710,0.374256611,,,,
1717493136.269746,,,1.530134320,,
1717493136.272661,,,,8.885999680,
1717493136.287780,,700.000000000,,,
1717493136.297746,,,,,0.038611110
1717493136.303644,0.374243855,,,,
1717493136.303672,,,1.571265936,,
1717493136.307640,,,,8.909999847,
1717493136.320661,,715.000000000,,,
1717493136.332700,,,,,0.041499998
1717493136.335448,0.374224663,,,,
1717493136.335467,,,1.568873048,,
1717493136.347670,,,,8.937999725,
1717493136.357740,,636.000000000,,,
1717493136.367728,,,,,0.044666667
1717493136.371118,0.374130249,,,,
1717493136.371155,,,1.522825718,,
1717493136.383691,,,,8.897999763,
1717493136.392676,,746.000000000,,,
1717493136.402693,,,,,0.047833335
1717493136.404550,0.374063522,,,,
1717493136.404571,,,1.427029371,,
1717493136.418726,,,,9.000000000,
1717493136.428669,,658.000000000,,,
1717493136.435659,0.374085337,,,,
1717493136.435698,,,1.279125571,,
1717493136.438617,,,,,0.051444445
1717493136.453748,,,,9.001999855,
1717493136.463799,,732.000000000,,,
1717493136.470970,0.374009579,,,,
1717493136.471008,,,1.131526589,,
1717493136.473678,,,,,0.055222221
1717493136.488821,,,,9.144000053,
1717493136.498758,,679.000000000,,,
1717493136.499279,0.373951674,,,,
1717493136.499310,,,0.967832386,,
1717493136.513744,,,,,0.059722222
1717493136.523732,,,,9.168000221,
1717493136.533303,0.373929828,,,,
1717493136.533337,,,0.771039367,,
1717493136.533660,,621.000000000,,,
1717493136.548711,,,,,0.063555554
1717493136.558742,,,,8.996000290,
1717493136.565141,0.373924106,,,,
1717493136.565170,,,0.584093511,,
1717493136.567677,,695.000000000,,,
1717493136.581720,,,,,0.067166664
1717493136.592778,,,,8.906000137,
1717493136.600007,0.373930901,,,,
1717493136.600041,,,0.398578435,,
1717493136.602695,,613.000000000,,,
1717493136.616744,,,,,0.071055554
1717493136.626711,,,,8.711000443,
1717493136.636699,,751.000000000,,,
1717493136.638184,0.373923570,,,,
1717493136.638268,,,0.188774168,,
1717493136.650753,,,,,0.075111113
1717493136.659738,,,,8.880999565,
1717493136.669338,0.373887330,,,,
1717493136.669358,,,-0.019561876,,
1717493136.671696,,621.000000000,,,
1717493136.685896,,,,,0.079833336
1717493136.695751,,,,8.904999733,
1717493136.699542,0.373877704,,,,
1717493136.699564,,,-0.217527866,,
1717493136.705707,,743.000000000,,,
1717493136.716737,,,,,0.083666667
1717493136.726693,,,,9.013999939,
1717493136.732277,0.373875499,,,,
1717493136.732295,,,-0.396812350,,
1717493136.736681,,720.000000000,,,
1717493136.749756,,,,,0.088500001
1717493136.759740,,,,9.050999641,
1717493136.765397,0.373842031,,,,
1717493136.765433,,,-0.557720482,,
1717493136.769658,,720.000000000,,,
1717493136.784836,,,,,0.093888886
1717493136.794708,,,,8.984999657,
1717493136.799205,0.373801172,,,,
1717493136.799224,,,-0.674520016,,
1717493136.804655,,650.000000000,,,
1717493136.814693,,,,,0.098444447
1717493136.823714,,,,8.920000076,
1717493136.830643,0.373763770,,,,
1717493136.830687,,,-0.747569203,,
1717493136.833709,,655.000000000,,,
1717493136.848775,,,,,0.102888890
1717493136.858746,,,,8.935000420,
1717493136.864658,0.373776078,,,,
1717493136.864680,,,-0.783798814,,
1717493136.869743,,687.000000000,,,
1717493136.880744,,,,,0.107000001
1717493136.891791,,,,8.987999916,
1717493136.898646,0.373759717,,,,
1717493136.898685,,,-0.787130296,,
1717493136.900817,,693.000000000,,,
1717493136.916805,,,,,0.111500002
1717493136.926725,,,,8.923999786,
1717493136.933384,0.373729140,,,,
1717493136.933411,,,-0.722189665,,
1717493136.935667,,757.000000000,,,
1717493136.950755,,,,,0.116277777
1717493136.959706,,,,9.034999847,
1717493136.969784,,636.000000000,,,
1717493136.969829,0.373763919,,,,
1717493136.969842,,,-0.648723722,,
1717493136.983872,,,,,0.120944448
1717493136.993824,,,,8.923999786,
1717493136.998424,0.373736560,,,,
1717493136.998446,,,-0.541843176,,
1717493137.003736,,759.000000000,,,
1717493137.013804,,,,,0.125055552
1717493137.023788,,,,8.871000290,
1717493137.031149,0.373700619,,,,
1717493137.031172,,,-0.409962356,,
1717493137.033728,,700.000000000,,,
1717493137.048773,,,,,0.130277783
1717493137.059745,,,,8.885999680,
1717493137.067527,0.373703867,,,,
1717493137.067549,,,-0.261522114,,
1717493137.072776,,683.000000000,,,
1717493137.081737,,,,,0.136055559
1717493137.092811,,,,8.859999657,
1717493137.097165,0.373714387,,,,
1717493137.097186,,,-0.114011429,,
1717493137.102754,,683.000000000,,,
1717493137.112763,,,,,0.141055554
1717493137.121781,,,,8.939000130,
1717493137.131775,,683.000000000,,,
1717493137.134146,0.373691887,,,,
1717493137.134169,,,0.049459483,,
1717493137.145837,,,,,0.146500006
1717493137.156828,,,,8.812000275,
1717493137.166735,,642.000000000,,,
1717493137.169494,0.373685628,,,,
1717493137.169520,,,0.211949751,,
1717493137.180757,,,,,0.151833341
1717493137.189881,,,,8.829999924,
1717493137.199791,,764.000000000,,,
1717493137.200574,0.373690397,,,,
1717493137.200611,,,0.373303860,,
1717493137.213749,,,,,0.157277778
1717493137.223779,,,,8.848999977,
1717493137.234776,,723.000000000,,,
1717493137.235406,0.373657644,,,,
1717493137.235431,,,0.533409715,,
1717493137.248790,,,,,0.163444445
1717493137.259839,,,,8.845999718,
1717493137.269471,0.373655140,,,,
1717493137.269525,,,0.666928172,,
1717493137.271823,,689.000000000,,,
1717493137.286923,,,,,0.169888884
1717493137.296828,,,,8.887999535,
1717493137.300321,0.373685539,,,,
1717493137.300360,,,0.799670994,,
1717493137.310807,,665.000000000,,,
1717493137.320818,,,,,0.175833330
1717493137.330785,,,,8.899000168,
1717493137.340833,,782.000000000,,,
1717493137.341421,0.373681605,,,,
1717493137.341444,,,0.905712605,,
1717493137.355841,,,,,0.181666672
1717493137.365831,,,,9.039999962,
1717493137.368291,0.373676151,,,,
1717493137.368321,,,0.983662486,,
1717493137.379824,,625.000000000,,,
1717493137.389990,,,,,0.187555552
1717493137.400970,,,,8.968000412,
1717493137.401172,0.373683423,,,,
1717493137.401210,,,1.069646478,,
1717493137.414818,,616.000000000,,,
1717493137.424859,,,,,0.192722216
1717493137.430681,0.373718560,,,,
1717493137.430702,,,1.105592012,,
1717493137.434846,,,,8.878000259,
1717493137.447838,,761.000000000,,,
1717493137.457856,,,,,0.197333336
1717493137.468538,0.373734832,,,,
1717493137.468566,,,1.098551750,,
1717493137.469795,,,,8.876000404,
1717493137.485930,,712.000000000,,,
1717493137.496903,,,,,0.203222215
1717493137.500312,0.373733521,,,,
1717493137.500335,,,1.057392359,,
1717493137.511942,,,,8.963000298,
1717493137.521953,,712.000000000,,,
1717493137.531857,,,,,0.209388882
1717493137.537159,0.373749197,,,,
1717493137.537200,,,0.982298851,,
1717493137.541793,,,,9.048999786,
1717493137.553900,,785.000000000,,,
